id,word,seal_id,code,modifier,pratyaya,kartari,gender,vacana,purusha,vibhakti,comment
521,araja,*,MW:araja,,,,,,,,
522,asama,*,MW:asama,,,,,,,,
523,aman,*,MW:aman,sup,,,1,1,,8,
524,Aya,*,MW:Aya,,,,,,,,
525,ASak,*,MW:ASak,sup,,,1,1,,8,
526,Ira,*,2.0008,krt,ac,,1,1,,8,
527,caka,*,1.0892,krt,ac,,1,1,,8,
528,jaga,*,MW:jaga,,,,,,,,
529,Canna,*,MW:Canna,,,,,,,,
530,cAnana,*,10.0378,krt,lyuw,,3,1,,8,
531,caza,*,1.1034,krt,ac,,1,1,,8,
532,janman,*,MW:janman,,,,,,,,
533,jA,*,MW:jan,sup,,,1,1,,1,
534,tatAna,*,8.0001,tin,,plit,,1,3,,
535,tanmanaH,*,MW:tanmanas,sup,,,1,1,,1,
536,tamA,*,MW:tama,,,,,,,,
537,taya,*,1.0551,krt,ac,,1,1,,8,
538,tAravah,*,MW:tArava,sup,,,1,1,,1,
539,ti,*,MW:ti,,,,,,,,
540,trARa,*,MW:trARa,,,,,,,,
541,daDad,*,3.0011,krt,Satr,,1,1,,8,
542,nASanI,*,MW:nASanI,,,,,,,,
543,jajja,*,MW:jajja,,,,,,,,
544,tawya,*,1.0345,krt,lyap,,1,1,,8,
545,tawaM,*,MW:tawa,sup,,,1,1,,2,
546,tawam,*,MW:tawa,sup,,,1,1,,2,
548,vaDa,*,MW:vaDa,,,,,,,,
549,vaSa,*,MW:vaSa,,,,,,,,
550,ISana,*,MW:ISana,,,,,,,,
551,naBa,*,01.0855,krt,ac,,1,1,,8,
552,manaH,*,MW:manas,sup,,,1,1,,8,
553,maKa,*,MW:maKa,sup,,,1,1,,8,
554,yaH,*,MW:yad,sup,,,1,1,,1,
554,yAH,*,MW:yad,sup,,,1,3,,1,
555,yE,*,MW:i,sup,,,2,1,,4,
556,yata,*,MW:yata,sup,,,1,1,,8,
557,yaya,*,02.0057,sup,,,1,1,,8,
558,rara,*,01.1057,tin,,plit,,3,2,,
559,rarARa,*,01.0513,tin,,plit,,1,3,,
560,rAH,*,01.1057,krt,ac,,1,1,,1,
561,rAsa,*,01.0713,krt,ac,,1,1,,8,
562,Saya,*,MW:Saya,sup,,,1,1,,8,
563,SaSI,*,MW:SaSin,sup,,,1,1,,1,
564,SAtana,*,MW:SAtana,sup,,,1,1,,8,
565,saKa,*,MW:saKa,sup,,,1,1,,8,
